u,amp_2018_ref,amp_2021_proj,amp_2025_proj
0.0,1158.2599999999995,1910.4419766881017,2884.831021842233
0.0033112582781456954,1146.0000000000007,1915.4079053484475,2891.6725329832775
0.006622516556291391,1300.3399999999992,1943.0306749938416,2858.8943355664346
0.009933774834437087,1268.0899999999995,1941.7864811945094,2867.0560463141574
0.013245033112582781,1158.2900000000004,1930.581779449739,2897.7197829344077
0.016556291390728478,1270.47,1943.7305125113753,2867.1154345763525
0.019867549668874173,1397.4799999999996,1956.4049997520895,2834.662184330803
0.023178807947019868,1365.2100000000007,1955.3884237549528,2845.626859660541
0.026490066225165563,1292.6299999999994,1952.8703616789476,2869.49866296741
0.029801324503311258,1061.34,1956.482013101563,2953.276827564625
0.033112582781456956,1016.4399999999996,1970.4224419422517,2977.097104641829
0.03642384105960265,1028.8200000000006,1979.4309377316345,2975.202994347381
0.039735099337748346,1044.9499999999996,1984.7436813481086,2774.435550320155
0.04304635761589404,1155.6800000000003,1952.8530575225177,2000.0221426755836
0.046357615894039736,1055.35,2000.6276183255206,1360.9989230273766
0.04966887417218543,1004.1700000000002,2042.9233593652787,927.2081735927532
0.052980132450331126,987.4800000000001,2070.572089904533,647.1466170397305
0.056291390728476824,1063.22,2022.91666278444,454.3814718839784
0.059602649006622516,1052.6999999999996,2042.5160084252789,336.6755625889146
0.06291390728476821,1055.7500000000002,2051.1962750294438,251.09851125085888
0.06622516556291391,1111.7800000000007,2005.2088001923914,181.46521540596922
0.0695364238410596,1246.6999999999996,1880.4889187026656,130.25144386818852
0.0728476821192053,1184.1300000000003,1938.2917808411846,101.45232190917196
0.076158940397351,1071.0899999999997,2072.6992983204545,81.81352423651751
0.07947019867549669,1119.3700000000006,2017.5300343976132,60.07577765340286
0.08278145695364239,1035.7699999999998,2137.429692914223,54.75509852087331
0.08609271523178808,919.2099999999996,2342.2061925985167,51.70234607921301
0.08940397350993377,964.6700000000002,2274.019692265633,43.94451570064419
0.09271523178807947,834.9599999999998,2554.0098268138577,43.5694682922731
0.09602649006622517,707.7399999999997,2926.1958348066146,48.35558802421353
0.09933774834437085,790.4299999999998,2713.909492733095,43.32729643656963
0.10264900662251655,755.8399999999996,2832.3496452629392,44.531273990718866
0.10596026490066225,818.4800000000002,2687.7937215092134,56.444147816968275
0.10927152317880795,882.4699999999998,2585.4150121432117,73.04232092706869
0.11258278145695365,859.2899999999995,2665.1679481315605,104.20309361211187
0.11589403973509933,817.5099999999996,2770.778120555571,152.99095533862206
0.11920529801324503,869.2900000000002,2715.1443879357616,211.69341899599402
0.12251655629139073,844.2800000000002,2777.7349837497177,333.6101858004051
0.12582781456953643,923.7299999999998,2737.84703618008,499.06974985906714
0.1291390728476821,934.7899999999994,2785.7700968969352,791.4069593035284
0.13245033112582782,944.7499999999994,2834.27462816854,1169.671046195731
0.1357615894039735,973.35,2894.7509285113197,1786.4923753782818
0.1390728476821192,921.6700000000003,2935.59062713094,2762.1942936298574
0.1423841059602649,943.5699999999995,2981.104826665225,3280.7957613236877
0.1456953642384106,894.14,2966.320452106971,3638.306005772957
0.1490066225165563,849.2599999999996,2937.354612067414,3606.761997187722
0.152317880794702,811.59,2903.1386652977435,3575.7073537814513
0.15562913907284767,861.5900000000004,2981.1153415867716,3643.864241231045
0.15894039735099338,839.4599999999996,2969.4156702254218,3631.6666117839372
0.16225165562913907,845.2799999999995,2996.119689136522,3651.918716340204
0.16556291390728478,870.3600000000005,3057.4421348260817,3699.7834741510987
0.16887417218543047,877.9299999999998,3092.390014071883,3726.6930719450384
0.17218543046357615,856.0099999999996,3080.03707732366,3721.2907876939385
0.17549668874172186,871.7599999999998,3124.527612202519,3753.0077915771035
0.17880794701986755,856.7100000000002,3121.2811616238478,3754.707438066715
0.18211920529801323,856.1899999999996,3140.545574467319,3768.657455204541
0.18543046357615894,866.8499999999997,3178.0665026736397,3792.367138291783
0.18874172185430463,853.8199999999996,3174.887438845609,3790.3029111370183
0.19205298013245034,816.2699999999995,3120.9908143398616,3761.0522753869363
0.19536423841059603,752.5700000000002,3013.796209934872,3699.3325476709897
0.1986754966887417,702.2000000000003,2924.368919299217,3647.638506773225
0.20198675496688742,730.1600000000001,2983.2181096959707,3685.4310556086525
0.2052980132450331,685.3100000000003,2899.4340158672594,3635.425611527023
0.20860927152317882,724.4099999999997,2979.1706927950563,3684.579503520984
0.2119205298013245,698.1500000000002,2931.3941578086474,3654.3594019550087
0.2152317880794702,691.2200000000001,2919.060810801756,3647.611633939956
0.2185430463576159,614.8400000000003,2762.9661221013553,3547.5491305125247
0.22185430463576158,611.7800000000003,2756.6716157589763,3544.1488712328173
0.2251655629139073,601.6799999999996,2734.5015996249617,3530.4100336342426
0.22847682119205298,551.6399999999999,2618.5493683381396,3454.0566224140134
0.23178807947019867,546.6299999999997,2601.133678962561,3445.463616074944
0.23509933774834438,556.72,2618.9512825596485,3461.2564144188373
0.23841059602649006,559.0999999999999,2618.194345694252,3464.658575589225
0.24172185430463577,562.0999999999999,2618.173684501584,3469.182189574525
0.24503311258278146,539.8600000000002,2559.9018994150915,3432.560692325944
0.24834437086092714,542.5700000000002,2561.933586746909,3432.8424460200854
0.25165562913907286,522.6999999999999,2507.174443804144,3394.9928991068014
0.25496688741721857,524.29,2506.6759751131863,3384.1648671208886
0.2582781456953642,489.5900000000001,2410.1850977895583,3311.863572711864
0.26158940397350994,450.28999999999985,2296.1295116019105,3230.1506677333928
0.26490066225165565,448.07999999999987,2285.8591198317326,3214.535028862484
0.2682119205298013,385.89999999999986,2103.348526790748,3100.8828690790942
0.271523178807947,395.0000000000001,2128.571660127145,3114.041429046394
0.27483443708609273,397.25000000000017,2134.852079458434,3116.7633482025108
0.2781456953642384,379.70000000000016,2088.1575956775005,3100.499404610497
0.2814569536423841,387.30999999999983,2114.058535722296,3114.887083109469
0.2847682119205298,416.4799999999999,2189.764640563895,3136.439230157592
0.28807947019867547,379.95000000000016,2112.2645940887755,3133.893001727505
0.2913907284768212,382.73,2128.797353596351,3155.4116288023984
0.2947019867549669,370.38,2117.783741088837,3184.1967401648712
0.2980132450331126,385.73999999999995,2155.892072653959,3191.2832424841235
0.30132450331125826,400.8600000000002,2180.6407729060697,3186.145425455727
0.304635761589404,399.41000000000014,2177.8347677394045,3195.8546899096655
0.3079470198675497,415.01999999999975,2187.827721082141,3172.7015141044153
0.31125827814569534,430.1600000000003,2190.3175602007573,3143.3888982606886
0.31456953642384106,493.16,2212.4936303831682,3028.4581442820204
0.31788079470198677,492.57999999999976,2195.5278278113547,3020.470382892107
0.3211920529801324,502.88000000000005,2183.609356412807,2995.028631266496
0.32450331125827814,532.07,2178.5873070527473,2940.0800780631157
0.32781456953642385,511.1399999999999,2156.667345143656,2967.954492005242
0.33112582781456956,503.3100000000001,2139.607488096357,2979.3682508110146
0.3344370860927152,524.04,2134.234357303148,2943.4328181186693
0.33774834437086093,567.9899999999998,2145.5644148322654,2873.3946475458824
0.34105960264900664,616.0000000000002,2162.3735758575117,2803.4735119533398
0.3443708609271523,606.1200000000003,2157.468985886442,2814.0195414278323
0.347682119205298,621.2000000000004,2162.588786766305,2788.5998608418995
0.3509933774834437,643.3999999999997,2171.1707698858804,2751.4338712805156
0.3543046357615894,707.0599999999998,2194.422746188366,2657.0332265812876
0.3576158940397351,618.0799999999997,2158.8786995375517,2775.4913095604993
0.3609271523178808,662.11,2174.1385155922526,2698.4424224879635
0.36423841059602646,644.6500000000001,2165.7560241683727,2715.0755174183264
0.3675496688741722,683.9099999999996,2177.135219673876,2644.2976890456102
0.3708609271523179,689.7600000000003,2176.78246191568,2619.011702846143
0.3741721854304636,670.4599999999999,2168.3435126878317,2631.816379745829
0.37748344370860926,674.0800000000002,2166.5912093956304,2609.6169477904023
0.38079470198675497,686.5899999999997,2167.4895840056283,2580.0274661437693
0.3841059602649007,776.7799999999996,2204.7076111949505,2521.8621060235005
0.38741721854304634,784.5799999999999,2213.9462075513197,2539.370939769041
0.39072847682119205,816.0899999999998,2239.116206365587,2572.9090015712013
0.39403973509933776,793.3399999999996,2232.059761641752,2595.5088437977834
0.3973509933774834,755.0100000000004,2207.1099036242076,1414.1986381014683
0.40066225165562913,752.9000000000002,2207.5577947637903,748.1817007927168
0.40397350993377484,752.5800000000003,2208.634006939236,351.00677503422895
0.40728476821192056,727.01,2185.860088730473,159.15151021818443
0.4105960264900662,679.8800000000002,2144.0502887260086,69.59578496061962
0.4139072847682119,687.1699999999996,2159.3380162156573,33.66905364834371
0.41721854304635764,732.7300000000001,2202.0826136749656,17.148639115681508
0.4205298013245033,731.1400000000001,2205.951943251438,9.661690382299701
0.423841059602649,708.0899999999996,2203.280640683376,5.711348930775511
0.4271523178807947,708.7199999999999,2214.5521775894326,3.5243254661499606
0.4304635761589404,672.1000000000003,2226.029701093761,2.2502535000104955
0.4337748344370861,695.0700000000003,2240.0604628419755,1.4659168272939158
0.4370860927152318,697.9199999999996,2251.8559708073003,0.9212399829633428
0.44039735099337746,717.1899999999998,2249.264790405482,0.632530549387004
0.44370860927152317,700.1800000000003,2264.2554841431056,0.5083644232454316
0.4470198675496689,646.6699999999996,2319.0264642695765,0.37071569724352005
0.4503311258278146,584.5400000000002,2411.9937684081106,0.28881030301642724
0.45364238410596025,602.1400000000003,2400.743959412946,0.20874178853484096
0.45695364238410596,587.4299999999997,2444.9703485235104,0.15594782350806277
0.4602649006622517,588.5200000000003,2459.416984145115,0.11420937717749229
0.46357615894039733,573.0400000000001,2517.944821153919,0.08363487028345541
0.46688741721854304,516.1499999999999,2746.027119555059,0.0584733979747579
0.47019867549668876,566.8299999999997,2589.9954158093096,0.0354544793357551
0.4735099337748344,558.4999999999999,2649.3913057252635,0.024287566145588444
0.4768211920529801,578.6699999999996,2585.2938159087744,0.01632155353078752
0.48013245033112584,580.43,2594.9941613647875,0.011178093563126221
0.48344370860927155,591.2600000000002,2554.762150315806,0.008693208245579006
0.4867549668874172,619.4400000000003,2434.65813026377,0.0070055066212631485
0.4900662251655629,593.41,2559.5668406260297,0.006642016745778306
0.49337748344370863,610.2599999999996,2488.6402356556773,0.006278319471263974
0.4966887417218543,607.6900000000004,2510.2756726907096,0.006509893757516095
0.5,605.4400000000002,2532.3987707389047,0.0071003374257792295
0.5033112582781457,600.9099999999999,2565.8203107146132,0.009201709519441237
0.5066225165562914,594.3399999999998,2609.9024282797036,0.012412609327048393
0.5099337748344371,524.8599999999999,2970.6747716827354,0.019339522733670372
0.5132450331125827,532.7100000000003,2934.3234056444376,0.0253610685259646
0.5165562913907285,498.0200000000001,3130.568540215172,0.03625561886115006
0.5198675496688742,478.38,3246.686973773604,0.050598725640635896
0.5231788079470199,520.4799999999997,3027.95013163936,0.06260500547813388
0.5264900662251656,490.40999999999997,3192.0269808758617,0.09884581212773222
0.5298013245033113,499.4599999999999,3166.9060460986234,0.1628159263537263
0.5331125827814569,499.3799999999999,3187.2507185535355,0.27253480389637535
0.5364238410596026,519.0199999999998,3145.5509480387523,0.5572721182926548
0.5397350993377483,538.5099999999998,3127.9199306730984,1.1872986385950806
0.543046357615894,536.4500000000002,3175.087514360013,2.8400330213234644
0.5463576158940397,527.1900000000003,3230.55617302849,7.31113951152596
0.5496688741721855,466.2699999999999,3308.044292334357,20.834071518157103
0.5529801324503312,474.77,3296.6627382150405,61.55771024031174
0.5562913907284768,455.9399999999998,3272.1416812141983,177.97165856997083
0.5596026490066225,460.7299999999999,3259.632067215736,513.1125908487012
0.5629139072847682,432.24000000000007,3167.8964587270098,1241.8395935859407
0.5662251655629139,442.29000000000025,3175.1403766160547,1728.9391790410762
0.5695364238410596,422.59000000000015,3082.7384731033585,1723.3019460124801
0.5728476821192053,436.20999999999975,3120.6391535101775,1754.8804210396363
0.5761589403973509,455.2399999999997,3198.332268111533,1789.3767518262778
0.5794701986754967,453.82,3193.6512690084055,1800.836223434353
0.5827814569536424,475.3899999999999,3309.913605338962,1837.6117408598277
0.5860927152317881,464.1499999999998,3260.3576724927425,1843.0697939712295
0.5894039735099338,467.29,3286.8407072022087,1869.3072028308163
0.5927152317880795,474.36000000000007,3339.795758885636,1911.8866832148315
0.5960264900662252,474.05999999999995,3349.937151516054,1942.6455084276188
0.5993377483443708,492.06999999999977,3478.057530194011,1450.9466825931265
0.6026490066225165,488.87999999999994,3470.933329222576,697.4777012310175
0.6059602649006622,476.16000000000025,3393.621699104147,350.5484470881553
0.609271523178808,434.52,3122.1030975845442,208.05634032749361
0.6125827814569537,446.5,3209.6242981056052,155.6376233618327
0.6158940397350994,430.74,3120.086449761654,143.1870462439687
0.6192052980132451,434.5099999999999,3157.342033085181,181.78754146609896
0.6225165562913907,435.8799999999999,3180.6741388496202,270.2829611818731
0.6258278145695364,450.42000000000024,3269.888226765631,551.6067694632629
0.6291390728476821,480.0799999999998,3402.3739677662306,1261.3490063780262
0.6324503311258278,500.8400000000002,3453.9067483240997,2228.6750921157213
0.6357615894039735,480.63000000000005,3374.4154181928557,2189.7630674657503
0.6390728476821192,469.30999999999983,3339.9839588566615,2189.9980307718047
0.6423841059602649,450.6799999999997,3316.781109642853,2214.773483101878
0.6456953642384106,462.4399999999998,3322.9057571171697,2216.058520946367
0.6490066225165563,459.44,3320.2112802603233,2234.3939972432563
0.652317880794702,451.13999999999993,3325.715564161336,2263.9761593687012
0.6556291390728477,479.91000000000014,3287.458302727664,2227.250374713984
0.6589403973509934,472.3300000000001,3289.8182534897205,2267.0853794963477
0.6622516556291391,464.01000000000005,3302.47222612382,1609.8403095660547
0.6655629139072847,469.6799999999997,3294.879817173503,1077.6763746411123
0.6688741721854304,466.91999999999973,3310.876281973388,801.0424602799968
0.6721854304635762,466.8300000000002,3323.0553906864293,626.9762010484293
0.6754966887417219,457.23999999999984,3359.9787143537037,520.9215492054013
0.6788079470198676,433.87,3432.0032504371093,448.1359214658782
0.6821192052980133,420.8099999999998,3480.4592841487247,392.2907447044534
0.6854304635761589,412.5699999999998,3517.6957025846136,335.2754658578971
0.6887417218543046,418.24000000000024,3518.5418238791653,285.5584151713111
0.6920529801324503,407.34999999999985,3563.870639807811,244.09423412632478
0.695364238410596,410.56999999999994,3567.688068701695,226.2835093261709
0.6986754966887417,406.8000000000001,3589.5966002380783,209.59703972143754
0.7019867549668874,379.89,3674.020176627277,192.93494797414317
0.7052980132450332,356.96999999999986,3753.2026229655553,178.9554248683705
0.7086092715231788,365.77999999999986,3728.159845998175,155.97887936527192
0.7119205298013245,334.26,3856.8590925105486,139.35482690814362
0.7152317880794702,320.82000000000016,3931.4778813678513,122.27071157645793
0.7185430463576159,320.2099999999999,3951.589578971709,105.34479666058307
0.7218543046357616,286.35999999999996,4154.805005453072,100.860286438101
0.7251655629139073,280.38999999999993,4187.468168652729,159.42189513615847
0.7284768211920529,282.7399999999999,4168.25297629579,254.7468836212822
0.7317880794701986,287.67999999999995,4135.776596761701,417.88012596311177
0.7350993377483444,316.78999999999996,3999.419524175109,686.2459715726135
0.7384105960264901,295.66999999999985,4088.6608677138966,1230.3934240338972
0.7417218543046358,301.3800000000001,4063.3880955435097,2221.5788635882095
0.7450331125827815,273.3300000000001,4158.1229098224385,2743.9276068722284
0.7483443708609272,281.9700000000002,4107.51785522794,2729.3401573311794
0.7516556291390728,271.7499999999999,4112.548509789194,2795.708690732782
0.7549668874172185,278.11,4083.248986870248,2777.1264869529423
0.7582781456953642,283.2799999999999,4070.75207063344,2754.9139042780785
0.7615894039735099,279.52,4089.038972168333,2764.5774603975365
0.7649006622516556,275.3499999999999,4104.536874875642,2781.0382107256505
0.7682119205298014,286.65000000000003,4137.541923537221,2678.716819522241
0.7715231788079471,296.16000000000014,4178.427205100672,2592.341181060658
0.7748344370860927,289.75,4192.629999055362,2628.5397790437487
0.7781456953642384,284.1199999999999,4203.015070522937,2665.466795242072
0.7814569536423841,283.49999999999983,4236.340401241548,2663.7624143748176
0.7847682119205298,295.4499999999999,4321.84198946317,2560.8420201927074
0.7880794701986755,295.17999999999984,4359.843105618479,2557.9082543461705
0.7913907284768212,289.2999999999999,4362.048554145282,2607.382514826837
0.7947019867549668,286.04999999999995,4373.867311999738,2638.434559692174
0.7980132450331126,231.64999999999998,4026.5265198293396,3200.9872819879447
0.8013245033112583,229.54000000000002,4010.0419445133653,3228.4332301346567
0.804635761589404,217.91,3908.664997784575,3380.0279768570335
0.8079470198675497,198.38,3714.418080490772,3661.989565466824
0.8112582781456954,197.84999999999997,3689.851390218115,3660.531246591168
0.8145695364238411,198.18000000000006,3674.6743443738137,3645.9206246973085
0.8178807947019867,185.42000000000004,3521.560428594389,3833.206762673642
0.8211920529801324,183.68,3489.709200612753,3843.1928814279954
0.8245033112582781,212.67,3818.4326623278353,3424.6690423405335
0.8278145695364238,209.80999999999997,3781.7352248147654,3453.4451885090252
0.8311258278145696,222.80000000000007,3931.099862719365,3304.3158579749856
0.8344370860927153,221.58000000000004,3916.305434262037,3318.294519125528
0.8377483443708609,197.09999999999997,3620.004219810388,3619.5443809833737
0.8410596026490066,209.46999999999994,3684.6254689688917,4301.685657857456
0.8443708609271523,210.28999999999996,3257.2124373833535,4177.792510381164
0.847682119205298,225.25000000000003,2302.222471118135,3409.5809577921655
0.8509933774834437,247.33999999999995,1668.9286994227991,2685.017860967906
0.8543046357615894,240.9900000000001,1080.4465480052843,2894.991747351567
0.8576158940397351,244.84000000000003,732.2681556486601,2826.5037551784053
0.8609271523178808,228.33000000000007,458.76648076942143,3276.945627961957
0.8642384105960265,218.65000000000006,296.03065027114576,3531.532460678824
0.8675496688741722,215.44000000000003,197.58408410740162,3581.2424129550086
0.8708609271523179,229.04000000000005,138.88587288612482,3256.0614374963066
0.8741721854304636,221.70999999999998,88.23041660743412,3375.176259884394
0.8774834437086093,231.33000000000007,236.91361006906783,211.75893923699465
0.8807947019867549,233.21999999999994,238.81036205202594,213.41956610989078
0.8841059602649006,231.09999999999994,236.6827672954445,211.5568154145105
0.8874172185430463,226.41000000000003,231.9745732523856,207.43348021342618
0.890728476821192,220.45000000000005,225.9886318621523,202.18864989624313
0.8940397350993378,222.27,227.81689287244998,203.79085377701276
0.8973509933774835,227.55,233.11917360758295,208.43605244787798
0.9006622516556292,225.43000000000006,230.99052644519958,206.57145849286616
0.9039735099337748,226.50999999999993,232.0749813959535,207.5214332111729
0.9072847682119205,229.71,235.28757604759966,210.33511292748744
0.9105960264900662,227.62,233.18945234245166,208.49760734375275
0.9139072847682119,225.60999999999996,231.17127613956654,206.72980023152516
0.9172185430463576,188.71,194.05360186681492,174.15750378834915
0.9205298013245033,196.36000000000004,201.75980746734325,180.92974693612499
0.923841059602649,199.69,205.11238403296946,183.87434452271742
0.9271523178807947,195.27000000000007,200.6621714287049,179.96546731341903
0.9304635761589404,209.62999999999997,215.1131983401163,192.65237628468472
0.9337748344370861,210.22000000000003,215.7065053763964,193.1728751144341
0.9370860927152318,207.39999999999998,212.87039638118662,190.68453637899663
0.9403973509933775,203.25999999999993,208.70534646507153,187.0289852958412
0.9437086092715232,203.51000000000002,208.9569069355915,187.24981503492265
0.9470198675496688,205.38999999999993,210.84844421801796,188.9101080263214
0.9503311258278145,205.17000000000002,210.62711206126076,188.7158499326948
0.9536423841059603,204.02,209.47007113936817,187.70027407141012
0.956953642384106,204.12999999999994,209.58075024898218,187.79742599399285
0.9602649006622517,203.87,209.319143157286,187.56779080010546
0.9635761589403974,202.33999999999995,207.77955058567665,186.21623819104207
0.9668874172185431,203.36,208.80597139543164,187.11731849445582
0.9701986754966887,204.51000000000002,209.96308709023253,188.1330256216568
0.9735099337748344,205.17000000000002,210.62711206126076,188.7158499326948
0.9768211920529801,197.20000000000002,202.60560894820983,181.67271537911142
0.9801324503311258,197.64999999999995,203.0586872252256,182.0706820830177
0.9834437086092715,197.54000000000005,202.94793666448257,181.9734046831839
0.9867549668874173,198.98000000000002,204.39766483180227,183.24668326583492
0.9900662251655629,200.73999999999998,206.16927003162937,184.80241244420108
0.9933774834437086,200.16000000000005,205.5854800430819,184.28978947271565
0.9966887417218543,207.1,212.5686374503992,190.41974015910404
1.0,209.46999999999994,214.95229576410745,192.51121396617395
